Talk_ID,public_url,speaker_name,duration,published,tags,views
1988,https://www.ted.com/talks/gavin_schmidt_the_emergent_patterns_of_climate_change,Gavin Schmidt,00:12:10,5/1/14,"prediction,botany,code,ecology,green,visualizations,climate change,weather,water,math,pollution,computers,algorithm,data,environment,science,future",1189571
1989,https://www.ted.com/talks/sarah_jones_what_does_the_future_hold_11_characters_offer_quirky_answers,Sarah Jones,00:18:36,5/2/14,"theater,humor,future,performance",1603291
1990,https://www.ted.com/talks/mellody_hobson_color_blind_or_color_brave,Mellody Hobson,00:14:14,5/5/14,"women in business,inequality,business,communication,race",2379817
1991,https://www.ted.com/talks/marco_tempest_maybe_the_best_robot_demo_ever,Marco Tempest,00:06:18,5/6/14,"entertainment,magic,robots,technology",2162407
1992,https://www.ted.com/talks/stanley_mcchrystal_the_military_case_for_sharing_knowledge,Stanley McChrystal,00:06:44,5/7/14,"iraq,surveillance,war,military,collaboration",1017653
1993,https://www.ted.com/talks/randall_munroe_comics_that_ask_what_if,Randall Munroe,00:09:29,5/8/14,"science and art,physics,comedy,humor,math,art,computers,Google,data,science",2823328
1994,https://www.ted.com/talks/mark_ronson_how_sampling_transformed_music,Mark Ronson,00:16:50,5/9/14,"live music,music,performance",3481949
1995,https://www.ted.com/talks/deborah_gordon_what_ants_teach_us_about_the_brain_cancer_and_the_internet,Deborah Gordon,00:14:09,5/13/14,"biomimicry,evolution,ants,insects,Internet,nature,animals,computers,cancer,algorithm,science",1416530
1997,https://www.ted.com/talks/kevin_briggs_the_bridge_between_suicide_and_life,Kevin Briggs,00:14:13,5/14/14,"suicide,depression,mental health,culture",2833090
1998,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,Simon Sinek,00:11:59,5/19/14,"business,military,work,leadership",8246334
2005,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,Andrew Solomon,00:20:27,5/21/14,"pain,LGBT,gender equality,depression,culture,identity",5266488
2007,https://www.ted.com/talks/chris_kluwe_how_augmented_reality_will_change_sports_and_build_empathy,Chris Kluwe,00:09:11,5/22/14,"virtual reality,sports,technology",1235526
2006,https://www.ted.com/talks/jon_mooallem_the_strange_story_of_the_teddy_bear_and_what_it_reveals_about_our_relationship_to_animals,Jon Mooallem,00:14:16,5/27/14,"nature,environment",1118401
2009,https://www.ted.com/talks/kitra_cahana_stories_of_the_homeless_and_hidden,Kitra Cahana,00:05:00,5/28/14,"travel,journalism,global issues,photography,art,TED Fellows,youth",1501256
2004,https://www.ted.com/talks/stephen_friend_the_hunt_for_unexpected_genetic_heroes,Stephen Friend,00:10:39,5/29/14,"health,privacy,disease,biology,Alzheimer's,data,genetics",981321
2010,https://www.ted.com/talks/sting_how_i_started_writing_songs_again,Sting,00:23:15,5/30/14,"live music,creativity,music,performance",2067689
2015,https://www.ted.com/talks/ray_kurzweil_get_ready_for_hybrid_thinking,Ray Kurzweil,00:09:52,6/2/14,"evolution,cloud,AI,brain,technology,future",2125009
2012,https://www.ted.com/talks/dan_gilbert_you_are_always_changing,Dan Gilbert,00:06:49,6/3/14,"personality,psychology,culture,humanity",3666533
2014,https://www.ted.com/talks/robert_full_the_secrets_of_nature_s_grossest_creatures_channeled_into_robots,Robert Full,00:05:07,6/5/14,"biomimicry,exoskeleton,demo,insects,animals,design,robots,biology,science,invention,technology",1256160
2016,https://www.ted.com/talks/yoruba_richen_what_the_gay_rights_movement_learned_from_the_civil_rights_movement,Yoruba Richen,00:17:42,6/6/14,"LGBT,film,gender equality,activism,inequality,race",727612
2019,https://www.ted.com/talks/keren_elazari_hackers_the_internet_s_immune_system,Keren Elazari,00:16:39,6/10/14,"hack,terrorism,crime,Internet,activism",2234448
2018,https://www.ted.com/talks/will_potter_the_shocking_move_to_criminalize_non_violent_protest,Will Potter,00:04:33,6/11/14,"nonviolence,terrorism,journalism,animals,activism,TED Fellows,politics,environment",1080970
2031,https://www.ted.com/talks/billy_collins_two_poems_about_what_dogs_think_probably,Billy Collins,00:04:02,6/20/14,"death,animals,love,creativity,poetry",1632331
2029,https://www.ted.com/talks/shaka_senghor_why_your_worst_deeds_don_t_define_you,Shaka Senghor,00:12:00,6/23/14,"crime,prison,culture",1504225
2001,https://www.ted.com/talks/sara_lewis_the_loves_and_lies_of_fireflies,Sara Lewis,00:13:51,7/1/14,"evolution,insects,biology",995093
2041,https://www.ted.com/talks/joi_ito_want_to_innovate_become_a_now_ist,Joi Ito,00:12:31,7/7/14,"nuclear energy,natural disaster,engineering,investment,telecom,design,creativity,product design,innovation,science,entrepreneur,business,technology",2158576
2043,https://www.ted.com/talks/nicholas_negroponte_a_30_year_history_of_the_future,Nicholas Negroponte,00:19:43,7/8/14,"prediction,interface design,computers,intelligence,innovation,technology,future",1931289
2027,https://www.ted.com/talks/david_kwong_two_nerdy_obsessions_meet_and_it_s_magic,David Kwong,00:11:43,7/11/14,"entertainment,magic",1668850
2045,https://www.ted.com/talks/david_chalmers_how_do_you_explain_consciousness,David Chalmers,00:18:37,7/14/14,"consciousness,philosophy,neuroscience,brain",2374038
2047,https://www.ted.com/talks/shih_chieh_huang_sculptures_that_d_be_at_home_at_the_bottom_of_the_ocean,Shih Chieh Huang,00:05:14,7/16/14,"oceans,art,TED Fellows",844773
2049,https://www.ted.com/talks/ze_frank_are_you_human,Ze Frank,00:04:34,7/18/14,"entertainment,comedy,humor,performance,community,humanity",4339372
2050,https://www.ted.com/talks/shai_reshef_a_tuition_free_college_degree,Shai Reshef,00:10:48,8/4/14,"code,open-source,computers,business,technology,education",5459049
2039,https://www.ted.com/talks/margaret_gould_stewart_how_giant_websites_design_for_you_and_a_billion_others_too,Margaret Gould Stewart,00:12:56,8/5/14,"design,culture,business,technology",1624735
2052,https://www.ted.com/talks/janet_iwasa_how_animations_can_help_scientists_test_a_hypothesis,Janet Iwasa,00:05:06,8/7/14,"crowdsourcing,molecular biology,science and art,animation,open-source,software,visualizations,TED Fellows,medical research,biology,science,technology,communication",871342
2061,https://www.ted.com/talks/tim_berners_lee_a_magna_carta_for_the_web,Tim Berners-Lee,00:06:43,8/18/14,"web,open-source,Internet,global issues",1090627
2064,https://www.ted.com/talks/aziza_chaouni_how_i_brought_a_river_and_my_city_back_to_life,Aziza Chaouni,00:05:39,8/19/14,"rivers,cities,infrastructure,architecture,activism,TED Fellows,sustainability",694218
2063,https://www.ted.com/talks/ziyah_gafic_everyday_objects_tragic_histories,Ziyah GaficÌ,00:04:32,8/22/14,"war,photography,TED Fellows",1019295
2067,https://www.ted.com/talks/martin_rees_can_we_prevent_the_end_of_the_world,Martin Rees,00:06:52,8/25/14,"science,future,humanity",1240179
2072,https://www.ted.com/talks/jim_holt_why_does_the_universe_exist,Jim Holt,00:17:17,9/2/14,philosophy,3614943
2070,https://www.ted.com/talks/isabel_allende_how_to_live_passionately_no_matter_your_age,Isabel Allende,00:08:16,9/3/14,"aging,storytelling",3403694
2075,https://www.ted.com/talks/shubhendu_sharma_an_engineers_vision_for_tiny_forests_everywhere,Shubhendu Sharma,00:04:22,9/4/14,"open-source,garden,engineering,trees,nature,TED Fellows",1184654
2024,https://www.ted.com/talks/zak_ebrahim_i_am_the_son_of_a_terrorist_here_s_how_i_chose_peace,Zak Ebrahim,00:09:10,9/9/14,"Middle East,TED Books,peace,terrorism,violence",4879743
2089,https://www.ted.com/talks/uldus_bakhtiozina_wry_photos_that_turn_stereotypes_upside_down,Uldus Bakhtiozina,00:04:03,9/12/14,"photography,humor,art,TED Fellows",1525664
2069,https://www.ted.com/talks/andrew_connolly_what_s_the_next_window_into_our_universe,Andrew Connolly,00:17:39,9/16/14,"telescopes,astronomy,space,universe,technology",1239861
2026,https://www.ted.com/talks/avi_reichental_what_s_next_in_3d_printing,Avi Reichental,00:09:04,9/18/14,"3D printing,manufacturing,technology",2578070
2095,https://www.ted.com/talks/eman_mohammed_the_courage_to_tell_a_hidden_story,Eman Mohammed,00:04:12,9/24/14,"Middle East,journalism,gender,global issues,photography,women,TED Fellows",1392075
2092,https://www.ted.com/talks/moshe_safdie_how_to_reinvent_the_apartment_building,Moshe Safdie,00:05:46,9/26/14,"cities,architecture,design",1668478
2077,https://www.ted.com/talks/nancy_kanwisher_the_brain_is_a_swiss_army_knife,Nancy Kanwisher,00:17:40,10/2/14,"visualizations,neuroscience,brain",1141057
2117,https://www.ted.com/talks/frans_lanting_photos_that_give_voice_to_the_animal_kingdom,Frans Lanting,00:03:30,10/29/14,"photography,nature,animals",1488555
1982,https://www.ted.com/talks/will_marshall_teeny_tiny_satellites_that_photograph_the_entire_planet_every_day,Will Marshall,00:08:01,11/18/14,"astronomy,space,technology",1761315
2143,https://www.ted.com/talks/ben_saunders_to_the_south_pole_and_back_the_hardest_105_days_of_my_life,Ben Saunders,00:17:04,12/2/14,"extreme sports,adventure,potential,exploration,personal growth",1086357
2161,https://www.ted.com/talks/aziz_abu_sarah_for_more_tolerance_we_need_more_tourism,Aziz Abu Sarah,00:04:37,1/7/15,"Middle East,peace,war,travel,violence,activism,TED Fellows,culture",1376154
2201,https://www.ted.com/talks/rob_knight_how_our_microbes_make_us_who_we_are,Rob Knight,00:17:24,2/23/15,"TED Books,health,biology",1703169
2206,https://www.ted.com/talks/helder_guimaraes_a_magical_search_for_a_coincidence,Helder Guimará£es,00:13:11,2/27/15,"entertainment,illusion,magic",2069460
2183,https://www.ted.com/talks/marc_kushner_why_the_buildings_of_the_future_will_be_shaped_by_you,Marc Kushner,00:18:05,3/10/15,"TED Books,social media,architecture,design",3110221
2215,https://www.ted.com/talks/david_eagleman_can_we_create_new_senses_for_humans,David Eagleman,00:20:34,3/18/15,"blindness,Senses,brain,technology",1995805
2216,https://www.ted.com/talks/joe_desimone_what_if_3d_printing_was_25x_faster,Joseph DeSimone,00:10:45,3/19/15,"demo,3D printing,design,manufacturing,technology",2747635
2217,https://www.ted.com/talks/monica_lewinsky_the_price_of_shame,Monica Lewinsky,00:22:26,3/20/15,"media,social media,suicide,technology,communication",12705817
2218,https://www.ted.com/talks/fei_fei_li_how_we_re_teaching_computers_to_understand_pictures,Fei-Fei Li,00:17:58,3/23/15,"sight,photography,AI,technology",2234341
2219,https://www.ted.com/talks/anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided,Anand Giridharadas,00:19:23,3/24/15,"crime,storytelling,history,immigration,inequality",1331116
2222,https://www.ted.com/talks/dave_isay_everyone_around_you_has_a_story_the_world_needs_to_hear,Dave Isay,00:21:38,3/25/15,"TED Prize,journalism,storytelling,history,United States",2183632
2220,https://www.ted.com/talks/theaster_gates_how_to_revive_a_neighborhood_with_imagination_beauty_and_art,Theaster Gates,00:16:52,3/26/15,"cities,urban planning,architecture,art,design,environment",1077385
2223,https://www.ted.com/talks/dame_stephanie_shirley_why_do_ambitious_women_have_flat_heads,Dame Stephanie Shirley,00:13:39,3/27/15,"philanthropy,women in business,software,women,entrepreneur,technology",2026194
2224,https://www.ted.com/talks/daniel_kish_how_i_use_sonar_to_navigate_the_world,Daniel Kish,00:13:03,3/31/15,"blindness,fear,Senses,disability,mind",1243605
2226,https://www.ted.com/talks/kevin_rudd_are_china_and_the_us_doomed_to_conflict,Kevin Rudd,00:20:01,4/1/15,"Asia,china,politics,United States",1798106
2225,https://www.ted.com/talks/bill_gates_the_next_disaster_we_re_not_ready,Bill Gates,00:08:32,4/3/15,"disaster relief,war,ebola,global issues,medicine,disease",2352788
2229,https://www.ted.com/talks/dan_ariely_how_equal_do_we_want_the_world_to_be_you_d_be_surprised,Dan Ariely,00:08:53,4/8/15,"behavioral economics,psychology,economics,inequality",1777406
2230,https://www.ted.com/talks/fred_jansen_how_to_land_on_a_comet,Fred Jansen,00:17:47,4/9/15,"asteroid,big bang,rocket science,Planets,human origins,physics,solar system,NASA,engineering,flight,space,life,science,technology",1152631
2233,https://www.ted.com/talks/kailash_satyarthi_how_to_make_peace_get_angry,Kailash Satyarthi,00:18:29,4/13/15,"peace,activism,social change",1268451
2234,https://www.ted.com/talks/paul_tudor_jones_ii_why_we_need_to_rethink_capitalism,Paul Tudor Jones II,00:09:51,4/16/15,"philanthropy,investment,money",1839301
2235,https://www.ted.com/talks/nathalie_cabrol_how_mars_might_hold_the_secret_to_the_origin_of_life,Nathalie Cabrol,00:16:02,4/17/15,"Planets,astrobiology,solar system,Mars,microbiology,exploration,space",1176777
2239,https://www.ted.com/talks/gary_haugen_the_hidden_reason_for_poverty_the_world_needs_to_address_now,Gary Haugen,00:22:08,4/20/15,"justice system,violence,poverty,inequality",1752160
2237,https://www.ted.com/talks/jedidah_isler_how_i_fell_in_love_with_quasars_blazars_and_our_incredible_universe,Jedidah Isler,00:04:19,4/21/15,"dark matter,telescopes,physics,NASA,astronomy,math,TED Fellows,universe,science",1255067
2228,https://www.ted.com/talks/chris_milk_how_virtual_reality_can_create_the_ultimate_empathy_machine,Chris Milk,00:10:16,4/22/15,"virtual reality,entertainment,film,storytelling,innovation,technology,humanity",1540848
2240,https://www.ted.com/talks/clint_smith_how_to_raise_a_black_son_in_america,Clint Smith,00:05:12,4/23/15,"poetry,spoken word,inequality,social change,race",2053101
